,precision,recall,f1-score,support
abseiling,0.0,0.0,0.0,260.0
air_drumming,0.0,0.0,0.0,260.0
answering_questions,0.0,0.0,0.0,260.0
applauding,0.0,0.0,0.0,260.0
applying_cream,0.0,0.0,0.0,260.0
archery,0.2710843373493976,0.17307692307692307,0.2112676056338028,260.0
arm_wrestling,0.0,0.0,0.0,260.0
arranging_flowers,0.75,0.011538461538461539,0.02272727272727273,260.0
assembling_computer,0.21428571428571427,0.03461538461538462,0.059602649006622516,260.0
auctioning,0.0,0.0,0.0,260.0
baby_waking_up,0.057692307692307696,0.011538461538461539,0.019230769230769232,260.0
baking_cookies,0.38636363636363635,0.13076923076923078,0.19540229885057472,260.0
balloon_blowing,0.08181818181818182,0.06923076923076923,0.07500000000000001,260.0
bandaging,0.1557377049180328,0.07307692307692308,0.09947643979057592,260.0
barbequing,0.5263157894736842,0.07692307692307693,0.1342281879194631,260.0
bartending,0.25,0.05384615384615385,0.08860759493670886,260.0
beatboxing,0.2,0.0038461538461538464,0.007547169811320756,260.0
bee_keeping,0.8260869565217391,0.07307692307692308,0.13427561837455831,260.0
belly_dancing,0.0,0.0,0.0,260.0
bench_pressing,0.0,0.0,0.0,260.0
bending_back,0.0,0.0,0.0,260.0
bending_metal,0.0,0.0,0.0,260.0
biking_through_snow,0.5714285714285714,0.015384615384615385,0.029962546816479405,260.0
blasting_sand,0.0,0.0,0.0,260.0
blowing_glass,0.0056179775280898875,0.0038461538461538464,0.0045662100456621,260.0
blowing_leaves,0.0,0.0,0.0,260.0
blowing_nose,0.045454545454545456,0.0038461538461538464,0.007092198581560284,260.0
blowing_out_candles,0.032281205164992825,0.17307692307692307,0.054413542926239414,260.0
bobsledding,0.5689655172413793,0.12692307692307692,0.20754716981132076,260.0
bookbinding,0.0,0.0,0.0,260.0
bouncing_on_trampoline,0.16853932584269662,0.17307692307692307,0.17077798861480073,260.0
bowling,0.45017182130584193,0.5038461538461538,0.4754990925589837,260.0
braiding_hair,0.1134453781512605,0.10384615384615385,0.10843373493975904,260.0
breading_or_breadcrumbing,0.4,0.015384615384615385,0.02962962962962963,260.0
breakdancing,0.0,0.0,0.0,260.0
brush_painting,0.0,0.0,0.0,260.0
brushing_hair,0.01639344262295082,0.0038461538461538464,0.006230529595015577,260.0
brushing_teeth,0.012422360248447204,0.007692307692307693,0.009501187648456057,260.0
building_cabinet,0.045714285714285714,0.03076923076923077,0.036781609195402305,260.0
building_shed,0.3170731707317073,0.05,0.08637873754152824,260.0
bungee_jumping,0.37037037037037035,0.11538461538461539,0.17595307917888564,260.0
busking,0.0,0.0,0.0,260.0
canoeing_or_kayaking,0.4329896907216495,0.16153846153846155,0.23529411764705882,260.0
capoeira,0.0,0.0,0.0,260.0
carrying_baby,0.05078125,0.05,0.050387596899224806,260.0
cartwheeling,0.0,0.0,0.0,260.0
carving_pumpkin,0.967741935483871,0.11538461538461539,0.2061855670103093,260.0
catching_fish,0.3220338983050847,0.07307692307692308,0.11912225705329153,260.0
catching_or_throwing_baseball,0.0,0.0,0.0,260.0
catching_or_throwing_frisbee,0.5,0.0038461538461538464,0.0076335877862595426,260.0
catching_or_throwing_softball,0.0,0.0,0.0,260.0
celebrating,0.01652892561983471,0.007692307692307693,0.010498687664041995,260.0
changing_oil,0.1,0.007692307692307693,0.014285714285714287,260.0
changing_wheel,0.17880794701986755,0.10384615384615385,0.13138686131386862,260.0
checking_tires,0.5555555555555556,0.038461538461538464,0.07194244604316546,260.0
cheerleading,0.6666666666666666,0.015384615384615385,0.03007518796992481,260.0
chopping_wood,0.0,0.0,0.0,260.0
clapping,0.0,0.0,0.0,260.0
clay_pottery_making,0.06451612903225806,0.007692307692307693,0.013745704467353952,260.0
clean_and_jerk,0.0,0.0,0.0,260.0
cleaning_floor,0.03225806451612903,0.03076923076923077,0.031496062992125984,260.0
cleaning_gutters,0.0,0.0,0.0,260.0
cleaning_pool,0.06557377049180328,0.015384615384615385,0.024922118380062308,260.0
cleaning_shoes,0.12903225806451613,0.015384615384615385,0.027491408934707903,260.0
cleaning_toilet,0.19902912621359223,0.3153846153846154,0.24404761904761904,260.0
cleaning_windows,0.03861003861003861,0.15384615384615385,0.06172839506172839,260.0
climbing_a_rope,0.007692307692307693,0.0038461538461538464,0.005128205128205128,260.0
climbing_ladder,0.030864197530864196,0.019230769230769232,0.023696682464454975,260.0
climbing_tree,0.10126582278481013,0.09230769230769231,0.09657947686116701,260.0
contact_juggling,0.0,0.0,0.0,260.0
cooking_chicken,0.18518518518518517,0.019230769230769232,0.0348432055749129,260.0
cooking_egg,0.31343283582089554,0.08076923076923077,0.12844036697247707,260.0
cooking_on_campfire,0.03225806451612903,0.007692307692307693,0.012422360248447206,260.0
cooking_sausages,0.0,0.0,0.0,260.0
counting_money,0.0,0.0,0.0,260.0
country_line_dancing,0.0018148820326678765,0.011538461538461539,0.0031364349189754314,260.0
cracking_neck,0.0,0.0,0.0,260.0
crawling_baby,0.04895960832313342,0.15384615384615385,0.07428040854224698,260.0
crossing_river,0.010638297872340425,0.0038461538461538464,0.005649717514124295,260.0
crying,0.0,0.0,0.0,260.0
curling_hair,0.22727272727272727,0.019230769230769232,0.03546099290780142,260.0
cutting_nails,0.1,0.015384615384615385,0.02666666666666667,260.0
cutting_pineapple,0.8695652173913043,0.07692307692307693,0.14134275618374556,260.0
cutting_watermelon,0.8333333333333334,0.019230769230769232,0.03759398496240601,260.0
dancing_ballet,0.08231173380035026,0.18076923076923077,0.11311672683513839,260.0
dancing_charleston,0.0,0.0,0.0,260.0
dancing_gangnam_style,0.0,0.0,0.0,260.0
dancing_macarena,0.06060606060606061,0.007692307692307693,0.013651877133105804,260.0
deadlifting,0.2490566037735849,0.25384615384615383,0.25142857142857145,260.0
decorating_the_christmas_tree,0.0,0.0,0.0,260.0
digging,0.3333333333333333,0.011538461538461539,0.02230483271375465,260.0
dining,0.08045977011494253,0.05384615384615385,0.06451612903225808,260.0
disc_golfing,0.027777777777777776,0.0038461538461538464,0.006756756756756757,260.0
diving_cliff,0.14457831325301204,0.046153846153846156,0.06997084548104957,260.0
dodgeball,0.005263157894736842,0.0038461538461538464,0.0044444444444444444,260.0
doing_aerobics,0.0,0.0,0.0,260.0
doing_laundry,0.0,0.0,0.0,260.0
doing_nails,0.0,0.0,0.0,260.0
drawing,0.16666666666666666,0.09615384615384616,0.1219512195121951,260.0
dribbling_basketball,0.14285714285714285,0.05,0.07407407407407408,260.0
drinking,0.13333333333333333,0.007692307692307693,0.014545454545454545,260.0
drinking_beer,0.21929824561403508,0.09615384615384616,0.13368983957219252,260.0
drinking_shots,0.15,0.011538461538461539,0.021428571428571432,260.0
driving_car,0.1276595744680851,0.18461538461538463,0.1509433962264151,260.0
driving_tractor,0.7916666666666666,0.21923076923076923,0.3433734939759036,260.0
drop_kicking,0.0,0.0,0.0,260.0
drumming_fingers,0.0,0.0,0.0,260.0
dunking_basketball,0.24545454545454545,0.10384615384615385,0.14594594594594595,260.0
dying_hair,0.0,0.0,0.0,260.0
eating_burger,0.2,0.007692307692307693,0.014814814814814815,260.0
eating_cake,0.0,0.0,0.0,260.0
eating_carrots,0.0,0.0,0.0,260.0
eating_chips,0.0,0.0,0.0,260.0
eating_doughnuts,0.0,0.0,0.0,260.0
eating_hotdog,0.0,0.0,0.0,260.0
eating_ice_cream,0.06382978723404255,0.011538461538461539,0.019543973941368076,260.0
eating_spaghetti,0.34782608695652173,0.03076923076923077,0.05653710247349823,260.0
eating_watermelon,0.1509433962264151,0.03076923076923077,0.05111821086261981,260.0
egg_hunting,0.0,0.0,0.0,260.0
exercising_arm,0.0,0.0,0.0,260.0
exercising_with_an_exercise_ball,0.0,0.0,0.0,260.0
extinguishing_fire,0.007971303308090873,0.15384615384615385,0.01515725653656688,260.0
faceplanting,0.0,0.0,0.0,260.0
feeding_birds,0.42857142857142855,0.023076923076923078,0.043795620437956206,260.0
feeding_fish,0.4838709677419355,0.057692307692307696,0.10309278350515465,260.0
feeding_goats,0.5,0.015384615384615385,0.029850746268656723,260.0
filling_eyebrows,0.0,0.0,0.0,260.0
finger_snapping,0.04411764705882353,0.011538461538461539,0.018292682926829267,260.0
fixing_hair,0.0,0.0,0.0,260.0
flipping_pancake,0.0,0.0,0.0,260.0
flying_kite,0.19339622641509435,0.1576923076923077,0.17372881355932204,260.0
folding_clothes,0.10227272727272728,0.03461538461538462,0.05172413793103449,260.0
folding_napkins,0.027124773960216998,0.057692307692307696,0.03690036900369004,260.0
folding_paper,0.04145077720207254,0.09230769230769231,0.057210965435041714,260.0
front_raises,0.0,0.0,0.0,260.0
frying_vegetables,0.2966101694915254,0.1346153846153846,0.1851851851851852,260.0
garbage_collecting,0.3,0.023076923076923078,0.042857142857142864,260.0
gargling,0.0,0.0,0.0,260.0
