,precision,recall,f1-score,support
abseiling,0.0,0.0,0.0,260.0
air_drumming,0.0,0.0,0.0,260.0
answering_questions,0.0,0.0,0.0,260.0
applauding,0.0,0.0,0.0,260.0
applying_cream,0.0,0.0,0.0,260.0
archery,0.0,0.0,0.0,260.0
arm_wrestling,0.0,0.0,0.0,260.0
arranging_flowers,0.46089385474860334,0.6346153846153846,0.5339805825242718,260.0
assembling_computer,0.0,0.0,0.0,260.0
auctioning,0.0,0.0,0.0,260.0
baby_waking_up,0.02186046511627907,0.18076923076923077,0.03900414937759336,260.0
baking_cookies,0.10067114093959731,0.17307692307692307,0.12729844413012728,260.0
balloon_blowing,0.0,0.0,0.0,260.0
bandaging,0.009708737864077669,0.0038461538461538464,0.005509641873278236,260.0
barbequing,0.02027027027027027,0.011538461538461539,0.014705882352941176,260.0
bartending,0.2397003745318352,0.49230769230769234,0.3224181360201511,260.0
beatboxing,0.0,0.0,0.0,260.0
bee_keeping,0.0,0.0,0.0,260.0
belly_dancing,0.0,0.0,0.0,260.0
bench_pressing,0.0,0.0,0.0,260.0
bending_back,0.0,0.0,0.0,260.0
bending_metal,0.0,0.0,0.0,260.0
biking_through_snow,0.09183673469387756,0.06923076923076923,0.07894736842105263,260.0
blasting_sand,0.0,0.0,0.0,260.0
blowing_glass,0.0,0.0,0.0,260.0
blowing_leaves,0.0,0.0,0.0,260.0
blowing_nose,0.0,0.0,0.0,260.0
blowing_out_candles,0.0,0.0,0.0,260.0
bobsledding,0.0,0.0,0.0,260.0
bookbinding,0.011764705882352941,0.007692307692307693,0.009302325581395349,260.0
bouncing_on_trampoline,0.043478260869565216,0.007692307692307693,0.013071895424836602,260.0
bowling,0.4056291390728477,0.9423076923076923,0.5671296296296297,260.0
braiding_hair,0.0392019600980049,0.4307692307692308,0.07186397176772537,260.0
breading_or_breadcrumbing,0.0,0.0,0.0,260.0
breakdancing,0.0,0.0,0.0,260.0
brush_painting,0.018221574344023325,0.09615384615384616,0.030637254901960783,260.0
brushing_hair,0.0,0.0,0.0,260.0
brushing_teeth,0.0,0.0,0.0,260.0
building_cabinet,0.01838235294117647,0.07692307692307693,0.02967359050445104,260.0
building_shed,0.33774834437086093,0.3923076923076923,0.36298932384341637,260.0
bungee_jumping,0.024,0.011538461538461539,0.015584415584415586,260.0
busking,0.18181818181818182,0.023076923076923078,0.040955631399317405,260.0
canoeing_or_kayaking,0.05263157894736842,0.0038461538461538464,0.007168458781362007,260.0
capoeira,0.04741379310344827,0.29615384615384616,0.08174097664543524,260.0
carrying_baby,0.0,0.0,0.0,260.0
cartwheeling,0.0,0.0,0.0,260.0
carving_pumpkin,0.0,0.0,0.0,260.0
catching_fish,0.2803738317757009,0.11538461538461539,0.16348773841961856,260.0
catching_or_throwing_baseball,0.0,0.0,0.0,260.0
catching_or_throwing_frisbee,0.0,0.0,0.0,260.0
catching_or_throwing_softball,0.0,0.0,0.0,260.0
celebrating,0.047619047619047616,0.0038461538461538464,0.007117437722419929,260.0
changing_oil,0.26666666666666666,0.015384615384615385,0.02909090909090909,260.0
changing_wheel,0.1,0.019230769230769232,0.03225806451612903,260.0
checking_tires,0.5111111111111111,0.08846153846153847,0.15081967213114753,260.0
cheerleading,0.0,0.0,0.0,260.0
chopping_wood,0.034482758620689655,0.007692307692307693,0.012578616352201259,260.0
clapping,0.0,0.0,0.0,260.0
clay_pottery_making,0.014492753623188406,0.05384615384615385,0.022838499184339316,260.0
clean_and_jerk,0.0,0.0,0.0,260.0
cleaning_floor,0.003968253968253968,0.038461538461538464,0.007194244604316546,260.0
cleaning_gutters,0.0056179775280898875,0.0038461538461538464,0.0045662100456621,260.0
cleaning_pool,0.2159090909090909,0.36538461538461536,0.2714285714285714,260.0
cleaning_shoes,0.11797752808988764,0.2423076923076923,0.15869017632241814,260.0
cleaning_toilet,0.21916010498687663,0.6423076923076924,0.3268101761252446,260.0
cleaning_windows,0.10086455331412104,0.1346153846153846,0.11532125205930807,260.0
climbing_a_rope,0.02178649237472767,0.038461538461538464,0.027816411682892908,260.0
climbing_ladder,0.04054054054054054,0.011538461538461539,0.017964071856287425,260.0
climbing_tree,0.0410958904109589,0.011538461538461539,0.018018018018018018,260.0
contact_juggling,0.0,0.0,0.0,260.0
cooking_chicken,0.036521739130434785,0.08076923076923077,0.050299401197604794,260.0
cooking_egg,0.0,0.0,0.0,260.0
cooking_on_campfire,0.0,0.0,0.0,260.0
cooking_sausages,0.06940874035989718,0.10384615384615385,0.08320493066255778,260.0
counting_money,0.0,0.0,0.0,260.0
country_line_dancing,0.0,0.0,0.0,260.0
cracking_neck,0.0,0.0,0.0,260.0
crawling_baby,0.027077692147469277,0.5,0.05137324639399329,260.0
crossing_river,0.2358974358974359,0.35384615384615387,0.2830769230769231,260.0
crying,0.0,0.0,0.0,260.0
curling_hair,0.009876543209876543,0.015384615384615385,0.012030075187969926,260.0
cutting_nails,0.0,0.0,0.0,260.0
cutting_pineapple,0.0,0.0,0.0,260.0
cutting_watermelon,0.0,0.0,0.0,260.0
dancing_ballet,0.05111524163568773,0.21153846153846154,0.08233532934131736,260.0
dancing_charleston,0.015151515151515152,0.0038461538461538464,0.006134969325153374,260.0
dancing_gangnam_style,0.003552397868561279,0.007692307692307693,0.004860267314702309,260.0
dancing_macarena,0.05228758169934641,0.03076923076923077,0.0387409200968523,260.0
deadlifting,0.0,0.0,0.0,260.0
decorating_the_christmas_tree,0.0,0.0,0.0,260.0
digging,0.15088013411567477,0.6923076923076923,0.2477632484514797,260.0
dining,0.05913978494623656,0.12692307692307692,0.08068459657701711,260.0
disc_golfing,0.0,0.0,0.0,260.0
diving_cliff,0.11290322580645161,0.40384615384615385,0.1764705882352941,260.0
dodgeball,0.0,0.0,0.0,260.0
doing_aerobics,0.0,0.0,0.0,260.0
doing_laundry,0.14513274336283186,0.3153846153846154,0.19878787878787876,260.0
doing_nails,0.0,0.0,0.0,260.0
drawing,0.0,0.0,0.0,260.0
dribbling_basketball,0.0,0.0,0.0,260.0
drinking,0.0,0.0,0.0,260.0
drinking_beer,0.02178649237472767,0.038461538461538464,0.027816411682892908,260.0
drinking_shots,0.0,0.0,0.0,260.0
driving_car,0.13757115749525617,0.5576923076923077,0.22070015220700154,260.0
driving_tractor,0.42857142857142855,0.011538461538461539,0.02247191011235955,260.0
drop_kicking,0.0,0.0,0.0,260.0
drumming_fingers,0.0,0.0,0.0,260.0
dunking_basketball,0.0842911877394636,0.08461538461538462,0.08445297504798464,260.0
dying_hair,0.008333333333333333,0.0038461538461538464,0.005263157894736842,260.0
eating_burger,0.016129032258064516,0.007692307692307693,0.010416666666666666,260.0
eating_cake,0.0,0.0,0.0,260.0
eating_carrots,0.0,0.0,0.0,260.0
eating_chips,0.0,0.0,0.0,260.0
eating_doughnuts,0.038834951456310676,0.03076923076923077,0.034334763948497854,260.0
eating_hotdog,0.0,0.0,0.0,260.0
eating_ice_cream,0.03833718244803695,0.3192307692307692,0.06845360824742268,260.0
eating_spaghetti,0.0,0.0,0.0,260.0
eating_watermelon,0.0,0.0,0.0,260.0
egg_hunting,0.0,0.0,0.0,260.0
exercising_arm,0.0,0.0,0.0,260.0
exercising_with_an_exercise_ball,0.0,0.0,0.0,260.0
extinguishing_fire,0.2923076923076923,0.2923076923076923,0.2923076923076923,260.0
faceplanting,0.0,0.0,0.0,260.0
feeding_birds,0.0,0.0,0.0,260.0
feeding_fish,0.12623762376237624,0.3923076923076923,0.19101123595505617,260.0
feeding_goats,0.16326530612244897,0.03076923076923077,0.05177993527508091,260.0
filling_eyebrows,0.0,0.0,0.0,260.0
finger_snapping,0.0,0.0,0.0,260.0
fixing_hair,0.0,0.0,0.0,260.0
flipping_pancake,0.0,0.0,0.0,260.0
flying_kite,0.07413945278022947,0.3230769230769231,0.12060301507537688,260.0
folding_clothes,0.06439393939393939,0.13076923076923078,0.08629441624365482,260.0
folding_napkins,0.0,0.0,0.0,260.0
folding_paper,0.0,0.0,0.0,260.0
front_raises,0.0,0.0,0.0,260.0
frying_vegetables,0.006896551724137931,0.0038461538461538464,0.0049382716049382715,260.0
garbage_collecting,0.15,0.18461538461538463,0.16551724137931034,260.0
gargling,0.0,0.0,0.0,260.0
getting_a_haircut,0.0,0.0,0.0,260.0
getting_a_tattoo,0.0,0.0,0.0,260.0
giving_or_receiving_award,0.0,0.0,0.0,260.0
golf_chipping,0.020689655172413793,0.011538461538461539,0.014814814814814815,260.0
golf_driving,0.10914634146341463,0.6884615384615385,0.18842105263157896,260.0
golf_putting,0.028368794326241134,0.015384615384615385,0.0199501246882793,260.0
grinding_meat,0.24404761904761904,0.1576923076923077,0.19158878504672894,260.0
grooming_dog,0.04681230494872938,0.40384615384615385,0.08389932081502197,260.0
grooming_horse,0.15384615384615385,0.023076923076923078,0.04013377926421405,260.0
